sl_nr;messstelle_id;messstelle_sl_nr;datum_pn;stoff_nr;probengut;messergebnis_c;messergebnis_hinweis;bestimmungsgrenze;masseinheit;trennverfahren;verfahren;vor_ort
4123532;010410107;48500;1922-04-30;3002;Grundwasser;178,20000;                                                  ;;mg/l;Nach Laborjournal;; 
12887385;010410107;48500;1922-04-30;1248;Grundwasser;2,31939;                                                  ;;mg/l;Gesamtgehalt;; 
3395982;094160090;24635;1964-07-15;1245;Grundwasser;2,25886;                                                  ;;mg/l;Gesamtgehalt;; 
3396345;094160090;24635;1964-07-15;1331;Grundwasser;144,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363742;094160090;24635;1964-07-15;1244;Grundwasser;9,99997;                                                  ;;mg/l;Gesamtgehalt;; 
3396040;094160090;24635;1969-05-15;1245;Grundwasser;2,25886;                                                  ;;mg/l;Gesamtgehalt;; 
3396403;094160090;24635;1969-05-15;1331;Grundwasser;158,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363800;094160090;24635;1969-05-15;1244;Grundwasser;9,99997;                                                  ;;mg/l;Gesamtgehalt;; 
3396028;094160090;24635;1968-05-15;1245;Grundwasser;2,48475;                                                  ;;mg/l;Gesamtgehalt;; 
3396391;094160090;24635;1968-05-15;1331;Grundwasser;177,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363788;094160090;24635;1968-05-15;1244;Grundwasser;10,99999;                                                  ;;mg/l;Gesamtgehalt;; 
3395990;094160090;24635;1965-03-15;1245;Grundwasser;1,58120;                                                  ;;mg/l;Gesamtgehalt;; 
4483480;010409403;1134;1968-09-16;1015;Grundwasser;17,00000;                                                  ;;°C;Nach Laborjournal;DIN 38404-C4 DEZEMBER 1976;ja
4483481;010409403;1134;1968-09-16;1011;Grundwasser;9,00000;                                                  ;;°C;Gesamtgehalt;; 
4483482;010409403;1134;1968-09-16;1061;Grundwasser;7,20000;                                                  ;;-;Gesamtgehalt;DIN 38404-C5 JANUAR 1984; 
4483483;010409403;1134;1968-09-16;1472;Grundwasser;5,60490;                                                  ;;mmol/l;Gesamtgehalt;DIN 38409-H7-1-2 MAI 1979;ja
4483484;010409403;1134;1968-09-16;1331;Grundwasser;17,00000;                                                  ;;mg/l;Nach Laborjournal;DEV D1-4; 
4483485;010409403;1134;1968-09-16;1482;Grundwasser;3,29300;                                                  ;;mmol/l;Gesamtgehalt;; 
4483486;010409403;1134;1968-09-16;1245;Grundwasser;3,16241;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D9-2 MAI 1979; 
4483487;010409403;1134;1968-09-16;1531;Grundwasser;3,00000;                                                  ;;mg/l;Gesamtgehalt;0; 
1045114;010410077;48072;1969-10-25;1695;Grundwasser;0,00000;                                                  ;;1/100ml;Gesamtgehalt;DIN 38411-K6  JUNI 1991; 
1045104;010410077;48072;1969-10-25;1112;Grundwasser;239,00000;                                                  ;;mg/l;Gesamtgehalt;DIN 38406-E14 JULI 1992; 
1045105;010410077;48072;1969-10-25;1113;Grundwasser;3,25000;                                                  ;;mg/l;Gesamtgehalt;DIN 38406-E13 JULI 1992; 
1045106;010410077;48072;1969-10-25;1121;Grundwasser;26,90000;                                                  ;;mg/l;Gesamtgehalt;DIN 38406-E3-1 SEPTEMBER 1982; 
1045107;010410077;48072;1969-10-25;1122;Grundwasser;69,90000;                                                  ;;mg/l;Gesamtgehalt;DIN 38406-E3-1 SEPTEMBER 1982; 
1045108;010410077;48072;1969-10-25;1171;Grundwasser;1,30000;                                                  ;;mg/l;Gesamtgehalt;ANALOG DIN V 38407-E19-1 VORN. JULI 1993; 
1045109;010410077;48072;1969-10-25;1182;Grundwasser;6,00000;                                                  ;;mg/l;Gesamtgehalt;ANALOG DIN V 38406-E19-2 VORN. JULI 1993; 
1045110;010410077;48072;1969-10-25;1245;Grundwasser;0,21000;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D19 FEBRUAR 1988; 
1045111;010410077;48072;1969-10-25;1249;Grundwasser;0,73000;                                                  ;;mg/l;Gesamtgehalt;DIN 38406-E5-1 OKTOBER 1983; 
1045112;010410077;48072;1969-10-25;1313;Grundwasser;8,46000;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D19 FEBRUAR 1988; 
1045113;010410077;48072;1969-10-25;1331;Grundwasser;9,33000;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D1-2 DEZEMBER 1985; 
3396353;094160090;24635;1965-03-15;1331;Grundwasser;161,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363750;094160090;24635;1965-03-15;1244;Grundwasser;6,99997;                                                  ;;mg/l;Gesamtgehalt;; 
3396003;094160090;24635;1966-04-15;1245;Grundwasser;2,48475;                                                  ;;mg/l;Gesamtgehalt;; 
12141724;010410077;48072;1969-10-25;1244;Grundwasser;0,92967;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D19 FEBRUAR 1988; 
12664318;010410077;48072;1969-10-25;1248;Grundwasser;0,94024;                                                  ;;mg/l;Gesamtgehalt;DIN 38406-E5-1 OKTOBER 1983; 
3396016;094160090;24635;1967-05-15;1245;Grundwasser;2,25886;                                                  ;;mg/l;Gesamtgehalt;; 
3396379;094160090;24635;1967-05-15;1331;Grundwasser;170,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363776;094160090;24635;1967-05-15;1244;Grundwasser;9,99997;                                                  ;;mg/l;Gesamtgehalt;; 
3396041;094160090;24635;1969-06-15;1245;Grundwasser;2,71063;                                                  ;;mg/l;Gesamtgehalt;; 
3396404;094160090;24635;1969-06-15;1331;Grundwasser;158,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363801;094160090;24635;1969-06-15;1244;Grundwasser;11,99996;                                                  ;;mg/l;Gesamtgehalt;; 
4483490;010409403;1134;1968-09-23;1015;Grundwasser;15,00000;                                                  ;;°C;Nach Laborjournal;DIN 38404-C4 DEZEMBER 1976;ja
