messstelle_id,e32,e32num,n32,n32num,genau
288164313,327278,327278.0,5674031,5674031.0,1
288164416,327305,327305.0,5674152,5674152.0,1
288164519,326975,326975.0,5673886,5673886.0,1
288164714,3225xx,322550.0,56588xx,5658850.0,100
288164726,3225xx,322550.0,56588xx,5658850.0,100
288164738,322570,322570.0,5658831,5658831.0,1
288164817,318839,318839.0,5665091,5665091.0,1
288164910,318986,318986.0,5665051,5665051.0,1
288165019,318937,318937.0,5665167,5665167.0,1
288165111,324731,324731.0,5656781,5656781.0,1
288165123,324731,324731.0,5656781,5656781.0,1
288165135,324731,324731.0,5656781,5656781.0,1
288165913,322768,322768.0,5657296,5657296.0,1
288166012,325268,325268.0,5671859,5671859.0,1
288166218,325596,325596.0,5671693,5671693.0,1
288166310,325643,325643.0,5672372,5672372.0,1
288166413,325901,325901.0,5672436,5672436.0,1
288166516,326762,326762.0,5672577,5672577.0,1
288166619,326314,326314.0,5672406,5672406.0,1
288166711,326762,326762.0,5672076,5672076.0,1
288166814,326602,326602.0,5671447,5671447.0,1
288166917,3133xx,313350.0,56685xx,5668550.0,100
288167016,313343,313343.0,5668585,5668585.0,1
288167119,3133xx,313350.0,56686xx,5668650.0,100
288167211,3133xx,313350.0,56686xx,5668650.0,100
288167314,3133xx,313350.0,56686xx,5668650.0,100
288167417,313341,313341.0,5668654,5668654.0,1
288167510,3134xx,313450.0,56687xx,5668750.0,100
288167612,313384,313384.0,5668734,5668734.0,1
288167715,3134xx,313450.0,56688xx,5668850.0,100
288167818,313382,313382.0,5668790,5668790.0,1
288167910,313381,313381.0,5668834,5668834.0,1
288168010,3134xx,313450.0,56688xx,5668850.0,100
288168112,313446,313446.0,5668931,5668931.0,1
288168215,313413,313413.0,5668915,5668915.0,1
288168318,313394,313394.0,5668912,5668912.0,1
288168410,3133xx,313350.0,56689xx,5668950.0,100
288168513,313296,313296.0,5668872,5668872.0,1
288168616,313347,313347.0,5669031,5669031.0,1
288168719,313281,313281.0,5669089,5669089.0,1
288168811,313123,313123.0,5669239,5669239.0,1
288168914,313410,313410.0,5668713,5668713.0,1
288169013,313351,313351.0,5668715,5668715.0,1
288169116,3131xx,313150.0,56692xx,5669250.0,100
288169219,313394,313394.0,5668944,5668944.0,1
288169414,324023,324023.0,5657919,5657919.0,1
288169426,324023,324023.0,5657919,5657919.0,1
